id,mass,GeoLocation,name,class_met,year_seen
11137,1.7,"(-76.018380, 155.876040)",Elephant Moraine 92137,L6,1992
11138,1.2,"(-76.013350, 155.829590)",Elephant Moraine 92138,CR2,1992
11139,1.1,"(-76.011790, 155.814760)",Elephant Moraine 92139,L6,1992
11140,3.6,"(-76.030580, 155.910150)",Elephant Moraine 92140,L6,1992
11141,0.9,"(-76.013020, 155.705810)",Elephant Moraine 92141,L6,1992
11142,0.9,"(-76.019390, 155.980700)",Elephant Moraine 92142,L6,1992
11143,9.8,"(-76.045080, 156.030770)",Elephant Moraine 92143,CR2,1992
11144,12.6,"(-76.047650, 156.025440)",Elephant Moraine 92144,CR2,1992
11145,0.6,"(-76.038590, 156.054630)",Elephant Moraine 92145,L6,1992
11146,1.4,"(-76.022540, 156.027790)",Elephant Moraine 92146,L6,1992
11147,1.5,"(-76.026320, 156.041380)",Elephant Moraine 92147,CR2,1992
11148,25,"(-76.030620, 156.035640)",Elephant Moraine 92149,CR2,1992
11149,18.8,"(-76.033510, 156.022320)",Elephant Moraine 92150,CR2,1992
11150,0.8,"(-76.040970, 156.301620)",Elephant Moraine 92151,L6,1992
11151,38.8,"(-76.035950, 155.951300)",Elephant Moraine 92152,CR2,1992
11152,29.3,"(-76.020510, 155.736760)",Elephant Moraine 92153,L6,1992
11153,20.2,"(-76.040250, 155.870490)",Elephant Moraine 92154,LL6,1992
11154,3,"(-76.013640, 155.759700)",Elephant Moraine 92155,L6,1992
11155,0.4,"(-76.012950, 155.839490)",Elephant Moraine 92156,CR2,1992
11156,6.4,"(-76.014860, 155.851080)",Elephant Moraine 92157,H5,1992
11157,5.4,"(-76.021380, 155.994010)",Elephant Moraine 92158,L6,1992
11158,67.6,"(-76.050590, 155.996660)",Elephant Moraine 92159,CR2,1992
11159,30.9,"(-76.064360, 155.969370)",Elephant Moraine 92160,L6,1992
11160,51.2,"(-76.039910, 156.011650)",Elephant Moraine 92161,CR2,1992
11161,31.6,"(-76.052370, 156.018250)",Elephant Moraine 92162,CR2,1992
11162,33.4,"(-76.028590, 156.045260)",Elephant Moraine 92163,CR2,1992
11163,36.5,"(-76.043540, 156.009410)",Elephant Moraine 92164,CR2,1992
11164,34.7,"(-76.048610, 156.026140)",Elephant Moraine 92165,CR2,1992
11165,44.7,"(-76.033130, 156.032330)",Elephant Moraine 92166,CR2,1992
11166,26.4,"(-76.042130, 156.041180)",Elephant Moraine 92167,L6,1992
11167,17.7,"(-76.046700, 156.023250)",Elephant Moraine 92168,CR2,1992
11168,21.5,"(-76.060340, 156.007180)",Elephant Moraine 92169,CR2,1992
11169,17.1,"(-76.022300, 156.027500)",Elephant Moraine 92170,L6,1992
11170,24,"(-76.034040, 156.030930)",Elephant Moraine 92171,CR2,1992
11171,19.8,"(-76.045070, 156.059370)",Elephant Moraine 92172,LL6,1992
11172,45.5,"(-76.038110, 156.020960)",Elephant Moraine 92173,L6,1992
11173,63.9,"(-76.062010, 156.014010)",Elephant Moraine 92174,CR2,1992
11174,41,"(-76.035420, 156.023060)",Elephant Moraine 92175,CR2,1992
11175,25.6,"(-76.053320, 156.007520)",Elephant Moraine 92176,CR2,1992
11176,11.4,"(-76.045610, 156.032200)",Elephant Moraine 92177,CR2,1992
11177,19.5,"(-76.053420, 156.008340)",Elephant Moraine 92178,CR2,1992
11178,21.5,"(-76.066360, 155.995220)",Elephant Moraine 92179,CR2,1992
11179,14.7,"(-76.022440, 156.027420)",Elephant Moraine 92180,CR2,1992
11180,11.7,"(-76.056050, 156.033240)",Elephant Moraine 92181,L6,1992
11181,38.5,"(-76.023750, 155.964750)",Elephant Moraine 92182,L6,1992
11182,7.7,"(-76.040090, 156.049510)",Elephant Moraine 92183,CR2,1992
11183,12,"(-76.026240, 156.043210)",Elephant Moraine 92184,L4,1992
11184,10,"(-76.045120, 156.027390)",Elephant Moraine 92185,CR2,1992
11185,11.3,"(-76.183330, 157.166670)",Elephant Moraine 92186,LL6,1992
11186,14.7,"(-76.057770, 155.957620)",Elephant Moraine 92187,L6,1992
11187,0.3,"(-85.633330, 157.166670)",Elephant Moraine 92188,CR2,1992
11188,11.1,"(-76.042610, 156.015110)",Elephant Moraine 92189,CR2,1992
11189,13.4,"(-76.057540, 155.998200)",Elephant Moraine 92190,CR2,1992
11190,17.8,"(-76.056680, 155.978640)",Elephant Moraine 92191,H6,1992
11191,6.2,"(-76.021540, 156.031990)",Elephant Moraine 92192,L6,1992
11192,22000,"(-76.042220, 155.940380)",Elephant Moraine 92193,H6,1992
11193,5.79,"(-76.183330, 157.166670)",Elephant Moraine 96001,Ureilite,1996
11194,10.12,"(-76.183330, 157.166670)",Elephant Moraine 96002,Howardite,1996
11195,15.64,"(-76.183330, 157.166670)",Elephant Moraine 96003,Howardite,1996
11196,13.35,"(-76.183330, 157.166670)",Elephant Moraine 96004,Howardite,1996
11197,1.36,"(-76.183330, 157.166670)",Elephant Moraine 96005,CM2,1996
11198,42.2,"(-76.183330, 157.166670)",Elephant Moraine 96006,CM2,1996
11199,5.1,"(-76.183330, 157.166670)",Elephant Moraine 96007,CM2,1996
11200,52.97,"(-76.183330, 157.166670)",Elephant Moraine 96008,Lunar (basalt),1996
11201,40,"(-76.183330, 157.166670)",Elephant Moraine 96009,"Iron, IAB-ung",1996
11202,16.3,"(-76.183330, 157.166670)",Elephant Moraine 96010,CM2,1996
11203,5.34,"(-76.183330, 157.166670)",Elephant Moraine 96011,CM2,1996
11204,9.4,"(-76.183330, 157.166670)",Elephant Moraine 96012,CM2,1996
11205,2.13,"(-76.183330, 157.166670)",Elephant Moraine 96013,CM2,1996
11206,2.34,"(-76.183330, 157.166670)",Elephant Moraine 96014,CM2,1996
11207,0.52,"(-76.183330, 157.166670)",Elephant Moraine 96015,L3.4,1996
11208,132.1,"(-76.183330, 157.166670)",Elephant Moraine 96016,CM2,1996
11209,19.9,"(-76.183330, 157.166670)",Elephant Moraine 96017,CM2,1996
11210,5.89,"(-76.183330, 157.166670)",Elephant Moraine 96018,CM2,1996
11211,18.9,"(-76.183330, 157.166670)",Elephant Moraine 96019,CM2,1996
11212,1307.5,"(-76.183330, 157.166670)",Elephant Moraine 96020,L6,1996
11213,898.5,"(-76.183330, 157.166670)",Elephant Moraine 96021,L6,1996
11214,687,"(-76.183330, 157.166670)",Elephant Moraine 96022,L6,1996
11215,897,"(-76.183330, 157.166670)",Elephant Moraine 96023,H6,1996
11216,421.3,"(-76.183330, 157.166670)",Elephant Moraine 96024,L6,1996
11217,385.3,"(-76.183330, 157.166670)",Elephant Moraine 96025,H6,1996
11218,226,"(-76.183330, 157.166670)",Elephant Moraine 96026,C4/5,1996
11219,2038.3,"(-76.183330, 157.166670)",Elephant Moraine 96027,H6,1996
11220,636.4,"(-76.183330, 157.166670)",Elephant Moraine 96028,L6,1996
11221,848.28,"(-76.183330, 157.166670)",Elephant Moraine 96029,CM2,1996
11222,234.1,"(-76.183330, 157.166670)",Elephant Moraine 96030,H6,1996
11223,414,"(-76.183330, 157.166670)",Elephant Moraine 96031,H4-an,1996
11224,435.7,"(-76.183330, 157.166670)",Elephant Moraine 96032,L4,1996
11225,237,"(-76.183330, 157.166670)",Elephant Moraine 96033,H6,1996
11226,311.4,"(-76.183330, 157.166670)",Elephant Moraine 96034,L6,1996
11227,223.5,"(-76.183330, 157.166670)",Elephant Moraine 96035,L4,1996
11228,313.9,"(-76.183330, 157.166670)",Elephant Moraine 96036,L6,1996
11229,325.7,"(-76.183330, 157.166670)",Elephant Moraine 96037,H4-an,1996
11230,284.9,"(-76.183330, 157.166670)",Elephant Moraine 96038,L6,1996
11231,259.5,"(-76.183330, 157.166670)",Elephant Moraine 96039,L6,1996
11232,276.2,"(-76.183330, 157.166670)",Elephant Moraine 96040,H4-an,1996
11233,280.1,"(-76.183330, 157.166670)",Elephant Moraine 96041,H6,1996
11234,249.8,"(-76.183330, 157.166670)",Elephant Moraine 96042,Ureilite,1996
11235,392.9,"(-76.183330, 157.166670)",Elephant Moraine 96043,H5,1996
11236,179.5,"(-76.183330, 157.166670)",Elephant Moraine 96044,L6,1996
11237,111.4,"(-76.183330, 157.166670)",Elephant Moraine 96045,L5,1996
11238,117.5,"(-76.183330, 157.166670)",Elephant Moraine 96046,L6,1996
11239,139.41,"(-76.183330, 157.166670)",Elephant Moraine 96047,H4-an,1996
11240,342,"(-76.183330, 157.166670)",Elephant Moraine 96048,L6,1996
11241,188.3,"(-76.183330, 157.166670)",Elephant Moraine 96049,LL6,1996
11242,195.1,"(-76.183330, 157.166670)",Elephant Moraine 96050,H5,1996
11243,154.7,"(-76.183330, 157.166670)",Elephant Moraine 96051,L6,1996
11244,164.9,"(-76.183330, 157.166670)",Elephant Moraine 96052,L6,1996
11245,187.7,"(-76.183330, 157.166670)",Elephant Moraine 96053,L6,1996
11246,156.2,"(-76.183330, 157.166670)",Elephant Moraine 96054,L6,1996
11247,205.5,"(-76.183330, 157.166670)",Elephant Moraine 96055,H5,1996
11248,140.1,"(-76.183330, 157.166670)",Elephant Moraine 96056,L6,1996
11249,199.7,"(-76.183330, 157.166670)",Elephant Moraine 96057,L6,1996
11250,185,"(-76.183330, 157.166670)",Elephant Moraine 96058,H5,1996
11251,4.2,"(-76.183330, 157.166670)",Elephant Moraine 96059,H5,1996
11252,84.8,"(-76.183330, 157.166670)",Elephant Moraine 96060,L6,1996
11253,98.4,"(-76.183330, 157.166670)",Elephant Moraine 96061,L6,1996
11254,122.8,"(-76.183330, 157.166670)",Elephant Moraine 96062,H6,1996
11255,83.1,"(-76.183330, 157.166670)",Elephant Moraine 96063,H6,1996
11256,24.5,"(-76.183330, 157.166670)",Elephant Moraine 96064,L6,1996
11257,3.3,"(-76.183330, 157.166670)",Elephant Moraine 96065,H6,1996
11258,16.9,"(-76.183330, 157.166670)",Elephant Moraine 96066,L6,1996
11259,8.5,"(-76.183330, 157.166670)",Elephant Moraine 96067,H6,1996
11260,8.4,"(-76.183330, 157.166670)",Elephant Moraine 96068,L6,1996
11261,5,"(-76.183330, 157.166670)",Elephant Moraine 96069,H6,1996
11262,2.4,"(-76.183330, 157.166670)",Elephant Moraine 96070,H6,1996
11263,0.7,"(-76.183330, 157.166670)",Elephant Moraine 96071,H6,1996
11264,1.4,"(-76.183330, 157.166670)",Elephant Moraine 96072,H6,1996
11265,9.7,"(-76.183330, 157.166670)",Elephant Moraine 96073,H6,1996
11266,25.3,"(-76.183330, 157.166670)",Elephant Moraine 96074,LL5,1996
11267,11.7,"(-76.183330, 157.166670)",Elephant Moraine 96075,H5,1996
11268,3.2,"(-76.183330, 157.166670)",Elephant Moraine 96076,L6,1996
11269,0.2,"(-76.183330, 157.166670)",Elephant Moraine 96077,EH3,1996
11270,2.6,"(-76.183330, 157.166670)",Elephant Moraine 96078,L6,1996
11271,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96079,H6,1996
11272,28.1,"(-76.183330, 157.166670)",Elephant Moraine 96080,LL6,1996
11273,4.4,"(-76.183330, 157.166670)",Elephant Moraine 96081,H6,1996
11274,4.6,"(-76.183330, 157.166670)",Elephant Moraine 96082,H6,1996
11275,43.2,"(-76.183330, 157.166670)",Elephant Moraine 96083,L6,1996
11276,4.6,"(-76.183330, 157.166670)",Elephant Moraine 96084,L4,1996
11277,3.4,"(-76.183330, 157.166670)",Elephant Moraine 96085,L6,1996
11278,4.6,"(-76.183330, 157.166670)",Elephant Moraine 96086,H5,1996
11279,13.4,"(-76.183330, 157.166670)",Elephant Moraine 96087,H6,1996
11280,40.4,"(-76.183330, 157.166670)",Elephant Moraine 96088,L6,1996
11281,8.9,"(-76.183330, 157.166670)",Elephant Moraine 96089,L6,1996
11282,40,"(-76.183330, 157.166670)",Elephant Moraine 96090,LL6,1996
11283,3,"(-76.183330, 157.166670)",Elephant Moraine 96091,L6,1996
11284,57.1,"(-76.183330, 157.166670)",Elephant Moraine 96092,L6,1996
11285,128.1,"(-76.183330, 157.166670)",Elephant Moraine 96093,H5,1996
11286,72.5,"(-76.183330, 157.166670)",Elephant Moraine 96094,L6,1996
11287,31.6,"(-76.183330, 157.166670)",Elephant Moraine 96095,L5,1996
11288,12.7,"(-76.183330, 157.166670)",Elephant Moraine 96096,CM2,1996
11289,12.9,"(-76.183330, 157.166670)",Elephant Moraine 96097,CM2,1996
11290,15.3,"(-76.183330, 157.166670)",Elephant Moraine 96098,CM2,1996
11291,5.9,"(-76.183330, 157.166670)",Elephant Moraine 96099,H6,1996
11292,30,"(-76.183330, 157.166670)",Elephant Moraine 96100,L6,1996
11293,75.4,"(-76.183330, 157.166670)",Elephant Moraine 96101,L6,1996
11294,76.8,"(-76.183330, 157.166670)",Elephant Moraine 96102,L6,1996
11295,4.3,"(-76.183330, 157.166670)",Elephant Moraine 96103,EH4,1996
11296,26.5,"(-76.183330, 157.166670)",Elephant Moraine 96104,L4,1996
11297,21.9,"(-76.183330, 157.166670)",Elephant Moraine 96105,H5,1996
11298,21.1,"(-76.183330, 157.166670)",Elephant Moraine 96106,L4,1996
11299,1.5,"(-76.183330, 157.166670)",Elephant Moraine 96107,L6,1996
11300,1.4,"(-76.183330, 157.166670)",Elephant Moraine 96108,H6,1996
11301,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96109,LL3.4,1996
11302,2.2,"(-76.183330, 157.166670)",Elephant Moraine 96110,L6,1996
11303,46.3,"(-76.183330, 157.166670)",Elephant Moraine 96111,L6,1996
11304,0.6,"(-76.183330, 157.166670)",Elephant Moraine 96112,H6,1996
11305,0.7,"(-76.183330, 157.166670)",Elephant Moraine 96113,H6,1996
11306,0.5,"(-76.183330, 157.166670)",Elephant Moraine 96114,H6,1996
11307,4.4,"(-76.183330, 157.166670)",Elephant Moraine 96115,H5,1996
11308,1.5,"(-76.183330, 157.166670)",Elephant Moraine 96116,L6,1996
11309,19,"(-76.183330, 157.166670)",Elephant Moraine 96117,L4,1996
11310,6.3,"(-76.183330, 157.166670)",Elephant Moraine 96118,L6,1996
11311,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96120,L6,1996
11312,28.9,"(-76.183330, 157.166670)",Elephant Moraine 96122,L6,1996
11313,8.5,"(-76.183330, 157.166670)",Elephant Moraine 96123,H4-an,1996
11314,5.9,"(-76.183330, 157.166670)",Elephant Moraine 96124,L5,1996
11315,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96125,H6,1996
11316,2.4,"(-76.183330, 157.166670)",Elephant Moraine 96126,L6,1996
11317,44.2,"(-76.183330, 157.166670)",Elephant Moraine 96127,L6,1996
11318,6.9,"(-76.183330, 157.166670)",Elephant Moraine 96128,H6,1996
11319,66.7,"(-76.183330, 157.166670)",Elephant Moraine 96129,L6,1996
11320,34,"(-76.183330, 157.166670)",Elephant Moraine 96130,L6,1996
11321,1.8,"(-76.183330, 157.166670)",Elephant Moraine 96131,L6,1996
11322,97.7,"(-76.183330, 157.166670)",Elephant Moraine 96132,L6,1996
11323,13.8,"(-76.183330, 157.166670)",Elephant Moraine 96133,H5,1996
11324,97.7,"(-76.183330, 157.166670)",Elephant Moraine 96134,H5,1996
11325,95.7,"(-76.183330, 157.166670)",Elephant Moraine 96135,EH4/5,1996
11326,67.7,"(-76.183330, 157.166670)",Elephant Moraine 96136,L6,1996
11327,37,"(-76.183330, 157.166670)",Elephant Moraine 96137,LL6,1996
11328,49.6,"(-76.183330, 157.166670)",Elephant Moraine 96138,L6,1996
11329,122.2,"(-76.183330, 157.166670)",Elephant Moraine 96139,H6,1996
11330,45.6,"(-76.183330, 157.166670)",Elephant Moraine 96140,L6,1996
11331,13.9,"(-76.183330, 157.166670)",Elephant Moraine 96141,LL4,1996
11332,1.9,"(-76.183330, 157.166670)",Elephant Moraine 96142,H6,1996
11333,35.7,"(-76.183330, 157.166670)",Elephant Moraine 96143,H6,1996
11334,3,"(-76.183330, 157.166670)",Elephant Moraine 96144,LL6,1996
11335,4,"(-76.183330, 157.166670)",Elephant Moraine 96145,L6,1996
11336,2.2,"(-76.183330, 157.166670)",Elephant Moraine 96146,L6,1996
11337,2,"(-76.183330, 157.166670)",Elephant Moraine 96147,H6,1996
11338,0.7,"(-76.183330, 157.166670)",Elephant Moraine 96148,L6,1996
11339,0.4,"(-76.183330, 157.166670)",Elephant Moraine 96149,L6,1996
11340,2.1,"(-76.183330, 157.166670)",Elephant Moraine 96150,L6,1996
11341,1.4,"(-76.183330, 157.166670)",Elephant Moraine 96151,H6,1996
11342,63.4,"(-76.183330, 157.166670)",Elephant Moraine 96152,L6,1996
11343,5.3,"(-76.183330, 157.166670)",Elephant Moraine 96153,L6,1996
11344,3.7,"(-76.183330, 157.166670)",Elephant Moraine 96154,H6,1996
11345,17.5,"(-76.183330, 157.166670)",Elephant Moraine 96155,L6,1996
11346,74.3,"(-76.183330, 157.166670)",Elephant Moraine 96156,L6,1996
11347,33.2,"(-76.183330, 157.166670)",Elephant Moraine 96157,L6,1996
11348,15.3,"(-76.183330, 157.166670)",Elephant Moraine 96158,L6,1996
11349,4.5,"(-76.183330, 157.166670)",Elephant Moraine 96159,H4,1996
11350,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96160,L3.6,1996
11351,2.3,"(-76.183330, 157.166670)",Elephant Moraine 96161,L6,1996
11352,16.1,"(-76.183330, 157.166670)",Elephant Moraine 96162,H6,1996
11353,0.6,"(-76.183330, 157.166670)",Elephant Moraine 96163,H6,1996
11354,2.2,"(-76.183330, 157.166670)",Elephant Moraine 96164,H6,1996
11355,25,"(-76.183330, 157.166670)",Elephant Moraine 96165,H6,1996
11356,3.9,"(-76.183330, 157.166670)",Elephant Moraine 96166,L6,1996
11357,40.4,"(-76.183330, 157.166670)",Elephant Moraine 96167,L6,1996
11358,2.6,"(-76.183330, 157.166670)",Elephant Moraine 96168,H5,1996
11359,10.3,"(-76.183330, 157.166670)",Elephant Moraine 96169,L6,1996
11360,11.2,"(-76.183330, 157.166670)",Elephant Moraine 96170,H5,1996
11361,27.6,"(-76.183330, 157.166670)",Elephant Moraine 96171,L6,1996
11362,3.8,"(-76.183330, 157.166670)",Elephant Moraine 96172,L6,1996
11363,0.6,"(-76.183330, 157.166670)",Elephant Moraine 96173,L6,1996
11364,14.5,"(-76.183330, 157.166670)",Elephant Moraine 96174,L6,1996
11365,1.4,"(-76.183330, 157.166670)",Elephant Moraine 96175,H6,1996
11366,19.3,"(-76.183330, 157.166670)",Elephant Moraine 96176,L6,1996
11367,7.8,"(-76.183330, 157.166670)",Elephant Moraine 96177,L6,1996
11368,21.4,"(-76.183330, 157.166670)",Elephant Moraine 96178,H6,1996
11369,5.3,"(-76.183330, 157.166670)",Elephant Moraine 96179,L6,1996
11370,8.4,"(-76.183330, 157.166670)",Elephant Moraine 96180,H6,1996
11371,29.1,"(-76.183330, 157.166670)",Elephant Moraine 96181,H5,1996
11372,4.1,"(-76.183330, 157.166670)",Elephant Moraine 96182,H5,1996
11373,1,"(-76.183330, 157.166670)",Elephant Moraine 96183,L6,1996
11374,15.2,"(-76.183330, 157.166670)",Elephant Moraine 96184,L6,1996
11375,4.5,"(-76.183330, 157.166670)",Elephant Moraine 96185,L6,1996
11376,101.3,"(-76.183330, 157.166670)",Elephant Moraine 96186,H6,1996
11377,0.6,"(-76.183330, 157.166670)",Elephant Moraine 96187,H6,1996
11378,16.4,"(-76.183330, 157.166670)",Elephant Moraine 96188,L/LL3.2,1996
11379,31,"(-76.183330, 157.166670)",Elephant Moraine 96189,H5,1996
11380,60.8,"(-76.183330, 157.166670)",Elephant Moraine 96190,H5,1996
11381,0.7,"(-76.183330, 157.166670)",Elephant Moraine 96191,H6,1996
11382,57.3,"(-76.183330, 157.166670)",Elephant Moraine 96192,H5,1996
11383,1.1,"(-76.183330, 157.166670)",Elephant Moraine 96194,H6,1996
11384,1.7,"(-76.183330, 157.166670)",Elephant Moraine 96195,L6,1996
11385,0.5,"(-76.183330, 157.166670)",Elephant Moraine 96196,L6,1996
11386,3.2,"(-76.183330, 157.166670)",Elephant Moraine 96197,L6,1996
11387,0.3,"(-76.183330, 157.166670)",Elephant Moraine 96198,H6,1996
11388,4.9,"(-76.183330, 157.166670)",Elephant Moraine 96199,H6,1996
11389,65,"(-76.183330, 157.166670)",Elephant Moraine 96200,L6,1996
11390,8.4,"(-76.183330, 157.166670)",Elephant Moraine 96201,H5,1996
11391,3.7,"(-76.183330, 157.166670)",Elephant Moraine 96202,EH4/5,1996
11392,0.3,"(-76.183330, 157.166670)",Elephant Moraine 96203,L6,1996
11393,12.1,"(-76.183330, 157.166670)",Elephant Moraine 96204,H5,1996
11394,18.8,"(-76.183330, 157.166670)",Elephant Moraine 96205,L6,1996
11395,3.1,"(-76.183330, 157.166670)",Elephant Moraine 96206,L6,1996
11396,2.6,"(-76.183330, 157.166670)",Elephant Moraine 96207,L6,1996
11397,14.7,"(-76.183330, 157.166670)",Elephant Moraine 96208,L5,1996
11398,1,"(-76.183330, 157.166670)",Elephant Moraine 96209,H6,1996
11399,1.7,"(-76.183330, 157.166670)",Elephant Moraine 96210,L6,1996
11400,113.9,"(-76.183330, 157.166670)",Elephant Moraine 96211,L6,1996
11401,107.1,"(-76.183330, 157.166670)",Elephant Moraine 96212,H5,1996
11402,19.9,"(-76.183330, 157.166670)",Elephant Moraine 96213,LL4,1996
11403,5.9,"(-76.183330, 157.166670)",Elephant Moraine 96214,LL4,1996
11404,15.6,"(-76.183330, 157.166670)",Elephant Moraine 96215,L6,1996
11405,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96216,L3.8,1996
11406,10.1,"(-76.183330, 157.166670)",Elephant Moraine 96217,EH4/5,1996
11407,16.6,"(-76.183330, 157.166670)",Elephant Moraine 96218,L5,1996
11408,18.3,"(-76.183330, 157.166670)",Elephant Moraine 96219,L6,1996
11409,2.9,"(-76.183330, 157.166670)",Elephant Moraine 96220,H6,1996
11410,24.3,"(-76.183330, 157.166670)",Elephant Moraine 96221,L6,1996
11411,8.3,"(-76.183330, 157.166670)",Elephant Moraine 96222,L5,1996
11412,2.7,"(-76.183330, 157.166670)",Elephant Moraine 96223,EH4/5,1996
11413,0.6,"(-76.183330, 157.166670)",Elephant Moraine 96224,L5,1996
11414,1.3,"(-76.183330, 157.166670)",Elephant Moraine 96225,L5,1996
11415,2.1,"(-76.183330, 157.166670)",Elephant Moraine 96226,CM2,1996
11416,4.9,"(-76.183330, 157.166670)",Elephant Moraine 96227,L5,1996
11417,1.2,"(-76.183330, 157.166670)",Elephant Moraine 96228,H6,1996
11418,4.1,"(-76.183330, 157.166670)",Elephant Moraine 96229,L6,1996
11419,31.7,"(-76.183330, 157.166670)",Elephant Moraine 96230,L6,1996
11420,73.9,"(-76.183330, 157.166670)",Elephant Moraine 96231,H6,1996
11421,14.3,"(-76.183330, 157.166670)",Elephant Moraine 96232,L6,1996
11422,0.9,"(-76.183330, 157.166670)",Elephant Moraine 96233,L6,1996
11423,2.3,"(-76.183330, 157.166670)",Elephant Moraine 96234,L4,1996
11424,5.7,"(-76.183330, 157.166670)",Elephant Moraine 96235,L6,1996
11425,0.3,"(-76.183330, 157.166670)",Elephant Moraine 96236,L6,1996
11426,0.4,"(-76.183330, 157.166670)",Elephant Moraine 96237,H6,1996
11427,0.4,"(-76.183330, 157.166670)",Elephant Moraine 96238,CH3,1996
11428,1,"(-76.183330, 157.166670)",Elephant Moraine 96239,L5,1996
11429,11.6,"(-76.183330, 157.166670)",Elephant Moraine 96240,L4,1996
11430,31.2,"(-76.183330, 157.166670)",Elephant Moraine 96241,LL6,1996
11431,23,"(-76.183330, 157.166670)",Elephant Moraine 96242,H6,1996
11432,14.7,"(-76.183330, 157.166670)",Elephant Moraine 96243,L4,1996
11433,20,"(-76.183330, 157.166670)",Elephant Moraine 96244,H5,1996
11434,14.4,"(-76.183330, 157.166670)",Elephant Moraine 96245,H5,1996
11435,44.5,"(-76.183330, 157.166670)",Elephant Moraine 96246,H5,1996
11436,86.1,"(-76.183330, 157.166670)",Elephant Moraine 96247,H5,1996
11437,44.9,"(-76.183330, 157.166670)",Elephant Moraine 96248,H5,1996
11438,40.3,"(-76.183330, 157.166670)",Elephant Moraine 96249,H6,1996
11439,50.5,"(-76.183330, 157.166670)",Elephant Moraine 96250,H6,1996
11440,100.8,"(-76.183330, 157.166670)",Elephant Moraine 96251,H6,1996
11441,48.9,"(-76.183330, 157.166670)",Elephant Moraine 96252,L6,1996
11442,15.4,"(-76.183330, 157.166670)",Elephant Moraine 96253,H4,1996
11443,6.9,"(-76.183330, 157.166670)",Elephant Moraine 96254,H5,1996
11444,17,"(-76.183330, 157.166670)",Elephant Moraine 96255,L6,1996
11445,1.2,"(-76.183330, 157.166670)",Elephant Moraine 96256,L6,1996
11446,10.8,"(-76.183330, 157.166670)",Elephant Moraine 96257,H5,1996
11447,26.6,"(-76.183330, 157.166670)",Elephant Moraine 96258,L6,1996
11448,12.1,"(-76.183330, 157.166670)",Elephant Moraine 96259,CR2,1996
11449,7.6,"(-76.183330, 157.166670)",Elephant Moraine 96260,H5,1996
11450,62.5,"(-76.183330, 157.166670)",Elephant Moraine 96261,L6,1996
11451,54.2,"(-76.183330, 157.166670)",Elephant Moraine 96262,Ureilite,1996
11452,8.6,"(-76.183330, 157.166670)",Elephant Moraine 96263,H5,1996
11453,3.6,"(-76.183330, 157.166670)",Elephant Moraine 96264,H6,1996
11454,1,"(-76.183330, 157.166670)",Elephant Moraine 96265,H6,1996
11455,4.7,"(-76.183330, 157.166670)",Elephant Moraine 96266,L6,1996
11456,106.4,"(-76.183330, 157.166670)",Elephant Moraine 96267,L6,1996
11457,13.1,"(-76.183330, 157.166670)",Elephant Moraine 96268,L6,1996
11458,5.9,"(-76.183330, 157.166670)",Elephant Moraine 96269,H6,1996
11459,65.4,"(-76.183330, 157.166670)",Elephant Moraine 96270,L6,1996
11460,94.8,"(-76.183330, 157.166670)",Elephant Moraine 96271,L6,1996
11461,13.6,"(-76.183330, 157.166670)",Elephant Moraine 96272,L6,1996
11462,147.2,"(-76.183330, 157.166670)",Elephant Moraine 96273,L6,1996
11463,128.1,"(-76.183330, 157.166670)",Elephant Moraine 96274,L6,1996
11464,9.5,"(-76.183330, 157.166670)",Elephant Moraine 96275,L6,1996
11465,8.3,"(-76.183330, 157.166670)",Elephant Moraine 96276,L6,1996
11466,15.8,"(-76.183330, 157.166670)",Elephant Moraine 96277,L6,1996
11467,22.7,"(-76.183330, 157.166670)",Elephant Moraine 96278,H6,1996
11468,45.3,"(-76.183330, 157.166670)",Elephant Moraine 96279,LL6,1996
11469,4.4,"(-76.183330, 157.166670)",Elephant Moraine 96280,H6,1996
11470,2.4,"(-76.183330, 157.166670)",Elephant Moraine 96281,L6,1996
11471,0.7,"(-76.183330, 157.166670)",Elephant Moraine 96282,L5,1996
11472,19.4,"(-76.183330, 157.166670)",Elephant Moraine 96283,H6,1996
11473,7.6,"(-76.183330, 157.166670)",Elephant Moraine 96284,L6,1996
11474,2.9,"(-76.183330, 157.166670)",Elephant Moraine 96285,L6,1996
11475,12.9,"(-76.183330, 157.166670)",Elephant Moraine 96286,CR2,1996
11476,4.6,"(-76.183330, 157.166670)",Elephant Moraine 96287,L6,1996
11477,33.3,"(-76.183330, 157.166670)",Elephant Moraine 96288,H4,1996
11478,5.7,"(-76.183330, 157.166670)",Elephant Moraine 96289,L6,1996
11479,28.7,"(-76.183330, 157.166670)",Elephant Moraine 96290,L4,1996
11480,0.8,"(-76.183330, 157.166670)",Elephant Moraine 96291,H6,1996
11481,13.8,"(-76.183330, 157.166670)",Elephant Moraine 96292,L4,1996
11482,100.6,"(-76.183330, 157.166670)",Elephant Moraine 96293,Ureilite,1996
11483,10.4,"(-76.183330, 157.166670)",Elephant Moraine 96294,L6,1996
